"ga:nextPagePath";"ga:landingPagePath";"ga:pageviews";"ga:timeOnPage";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=-1";"http://sstu.ru/";"1";"940.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=-1&bitrix_include_areas=N";"http://sstu.ru/";"1";"8.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=102&bitrix_include_areas=N";"http://sstu.ru/";"52";"6778.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=103&bitrix_include_areas=N";"http://sstu.ru/";"1";"5.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=112&bitrix_include_areas=N";"http://sstu.ru/";"24";"96.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=199&bitrix_include_areas=N";"http://sstu.ru/";"1";"26.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=208&bitrix_include_areas=N";"http://sstu.ru/";"2";"11.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=212";"http://sstu.ru/";"1";"6.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=212&bitrix_include_areas=N";"http://sstu.ru/";"8";"33.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=223&bitrix_include_areas=N";"http://sstu.ru/";"29";"381.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=235&bitrix_include_areas=N";"http://sstu.ru/";"4";"20.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=260&bitrix_include_areas=N";"http://sstu.ru/";"7";"47.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=20&type=www&lang=ru&find_section_section=312&bitrix_include_areas=N";"http://sstu.ru/";"2";"12.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=28&type=www&lang=ru&find_el_y=Y&bitrix_include_areas=N";"http://sstu.ru/";"1";"588.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=31&type=www&lang=ru&find_section_section=296&bitrix_include_areas=N";"http://sstu.ru/";"2";"8.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=45&type=virtual_museum&lang=ru&find_section_section=366&bitrix_include_areas=N";"http://sstu.ru/";"1";"13.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=48&type=www&lang=ru&find_el_y=Y&bitrix_include_areas=N";"http://sstu.ru/";"4";"662.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_admin.php?IBLOCK_ID=9&type=en&lang=ru&find_section_section=0";"http://sstu.ru/";"4";"152.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=15&type=www&ID=58544&lang=ru&find_section_section=-1&WF=Y&bitrix_include_areas=N";"http://sstu.ru/";"5";"236.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=20&type=www&ID=0&lang=ru&IBLOCK_SECTION_ID=208&find_section_section=208&bitrix_include_areas=N";"http://sstu.ru/";"1";"8.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=20&type=www&ID=58352&lang=ru&find_section_section=260&WF=Y&bitrix_include_areas=N";"http://sstu.ru/";"1";"13.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=20&type=www&ID=60496&lang=ru&find_section_section=102&WF=Y&bitrix_include_areas=N";"http://sstu.ru/";"2";"541.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=20&type=www&ID=60756&lang=ru&find_section_section=212&WF=Y&bitrix_include_areas=N";"http://sstu.ru/";"1";"4.0";
