"ga:nextPagePath";"ga:landingPagePath";"ga:pageviews";"ga:timeOnPage";
"/About.html";"/About.html";"43973";"2391039.0";
"/Projects/OntoWiki";"/Projects/OntoWiki";"39184";"2182122.0";
"/About";"/About";"21467";"1005829.0";
"/Projects/OntoWiki.html";"/Projects/OntoWiki.html";"17237";"1102305.0";
"/Projects/DLLearner";"/Projects/DLLearner";"12685";"672641.0";
"/Projects/RDFaCE";"/Projects/RDFaCE";"10410";"518703.0";
"/Projects/OntoWiki/Demo";"/Projects/OntoWiki";"9170";"857408.0";
"/Projects/OntoWiki/Screenshots";"/Projects/OntoWiki";"7761";"311053.0";
"/Team.html";"/About.html";"7566";"388937.0";
"/Projects/RDFaCE.html";"/Projects/RDFaCE.html";"6905";"384092.0";
"/Projects/LIMES.html";"/Projects/LIMES.html";"6431";"507773.0";
"/Projects/OntoWiki/Features";"/Projects/OntoWiki";"6255";"472025.0";
"/Projects/CubeViz.html";"/Projects/CubeViz.html";"5856";"421522.0";
"/Projects.html";"/About.html";"4839";"313882.0";
"/About.html";"/Projects/OntoWiki.html";"4750";"283415.0";
"/Projects/DBPSB.html";"/Projects/DBPSB.html";"4558";"315386.0";
"/Projects/AutoSPARQL.html";"/Projects/AutoSPARQL.html";"4465";"349692.0";
"/Events/2010/LeipzigerSemanticWebDay";"/Events/2010/LeipzigerSemanticWebDay";"4078";"279034.0";
"/Projects/__history__.html?0=";"/Projects/OntoWiki";"3960";"261000.0";
"/Projects/OntoWiki/FirstSteps";"/Projects/OntoWiki";"3743";"386885.0";
"/Projects/Xturtle.html";"/Projects/Xturtle.html";"3557";"275185.0";
"/Projects/BOA.html";"/Projects/BOA.html";"3523";"152214.0";
"/Projects/FOX.html";"/Projects/FOX.html";"3516";"302543.0";
"/Projects.html";"/Projects.html";"3472";"251145.0";
"/Projects/limes";"/Projects/limes";"2882";"206123.0";
"/Projects/RDFUnit.html";"/Projects/RDFUnit.html";"2670";"193058.0";
"/SoerenAuer.html";"/SoerenAuer.html";"2644";"156029.0";
"/Events/2011/LeipzigerSemanticWebDay";"/Events/2011/LeipzigerSemanticWebDay";"2641";"137230.0";
"/Projects/Powl";"/Projects/Powl";"2570";"172918.0";
"/Projects/LODStats.html";"/Projects/LODStats.html";"2538";"182155.0";
"/Projects/OntoWiki/Users";"/Projects/OntoWiki";"2443";"122218.0";
"/Team.html";"/Team.html";"2385";"150357.0";
"/Publications.html";"/About.html";"2368";"196145.0";
